month,smb,hml,umd,rf,rm,rmrf
2001m3,-0.03687062,0.1047535,0.09962123,0.0041837273,-0.0505761949,-0.05475992
2001m4,-0.00103189,0.01649718,-0.02805002,0.0041837273,0.0604570548,0.05627333
2001m5,0.04301921,0.0027151,0.07827115,0.0040331113,-0.0180353809,-0.02206849
2001m6,-0.00561129,0.05436692,0.09768777,0.004100049,-0.0281948911,-0.03229494
2001m7,-0.03399317,0.03334584,0.00744433,0.0040582123,-0.0227375163,-0.02679573
2001m8,0.05031554,0.04018429,0.07492208,0.0031382473,-0.0233236987,-0.02646195
2001m9,-0.10956103,0.07436312,0.08094919,0.0034894072,-0.0942572915,-0.0977467
2001m10,0.0578379,0.01609105,-0.06684656,0.0033639789,0.0324142585,0.02905028
2001m11,0.05913965,0.04917253,-0.09342294,0.0030880917,0.0436247606,0.04053667
2001m12,0.01156102,-0.00669446,0.02871438,0.0031382473,0.00451014,0.00137189
2002m1,-0.00211076,-0.04974636,0.11057887,0.0031549664,-0.0104450673,-0.01360003
2002m2,-0.01867002,-0.0257839,0.09456075,0.0032134855,-0.0080672836,-0.01128077
2002m3,0.01105282,0.02505855,0.00916763,0.0032720081,0.041956295,0.03868429
2002m4,0.05192905,0.00996785,0.06437925,0.003255287,-0.0155773969,-0.01883268
2002m5,0.01572975,0.03194981,0.05708126,0.0034141483,-0.0122246638,-0.01563881
2002m6,-0.00865404,-0.00755327,0.0611067,0.0032218458,-0.0842391228,-0.08746097
2002m7,-0.02920707,0.05916464,0.03151902,0.0032720081,-0.092262464,-0.09553447
2002m8,-0.00991308,0.03528872,0.06384053,0.003129888,0.003305451,0.00017556
2002m9,0.00487316,-0.03283896,0.09766731,0.0030880917,-0.1175913442,-0.12067944
2002m10,-0.06264102,0.04946824,0.00894487,0.0030964507,0.0778841541,0.0747877
2002m11,0.0182853,0.05398571,-0.11093252,0.0031382473,0.0354126061,0.03227436
2002m12,-0.0051369,-0.00827031,0.07016455,0.003146607,-0.0534202004,-0.05656681
2003m1,0.02124135,0.03311391,-0.02652606,0.0030797326,-0.0897172348,-0.09279697
2003m2,-0.0270806,0.02015279,0.04510128,0.0028373512,0.0262383202,0.02340097
2003m3,-0.00962705,-0.01987859,0.00509626,0.0028540652,-0.0061808198,-0.00903489
2003m4,0.02202715,-0.00233135,-0.10905775,0.0028289941,0.093736698,0.0909077
2003m5,0.059717,0.05267738,-0.06321604,0.0027955671,0.043833506,0.04103794
2003m6,0.05676265,-0.02815942,-0.02665817,0.002845708,0.0031048101,0.0002591
2003m7,0.04312775,0.02860242,-0.01043988,0.0026618698,0.0394585987,0.03679673
2003m8,0.04069359,0.00611287,-0.03858301,0.0028707796,0.0156207478,0.01274997
2003m9,-0.00145477,0.00914619,0.01015822,0.0028874942,-0.0159710883,-0.01885858
2003m10,0.00016118,0.00097455,0.02858586,0.0030964507,0.0494854556,0.046389
2003m11,-0.02129919,0.03128932,-0.00807782,0.003129888,0.0128822703,0.00975238
2003m12,-0.01555565,0.02046219,-0.00691716,0.0031633262,0.0292187296,0.0260554
2004m1,0.07273249,0.01209014,0.05441837,0.0032385663,-0.0086622646,-0.01190083
2004m2,0.00337877,0.00979295,0.02571296,0.0032970903,0.0286013847,0.02530429
2004m3,-0.00071135,-0.00166124,-0.0273345,0.0034141483,-0.0132119456,-0.01662609
2004m4,-0.02390237,0.00322747,-0.04725223,0.0034559581,0.0206095029,0.01715354
2004m5,-0.02213785,-0.00103844,-0.01217819,0.0036315782,-0.0132119456,-0.01684352
2004m6,0.0332148,-0.0119498,0.02439754,0.0037737696,0.0147071009,0.01093333
2004m7,-0.01728823,0.02326812,0.00248692,0.0038490555,-0.015380493,-0.01922955
2004m8,-0.01153879,0.02161333,1.112e-05,0.0038574207,0.0165352183,0.0126778
2004m9,0.00240278,0.01720664,0.00816988,0.0038323245,0.0277788321,0.02394651
2004m10,-0.00061047,0.02618929,-0.00585224,0.0038155941,0.0122747233,0.00845913
2004m11,0.01136038,0.02649592,0.01681673,0.0037904993,0.0239830776,0.02019258
2004m12,0.02328559,0.00608676,-0.00546572,0.0038239594,0.0291158131,0.02529185
2005m1,0.02973733,0.01308971,-0.00463956,0.0037988641,0.0132875045,0.00948864
2005m2,-0.01168404,-0.01614807,0.01132871,0.0038825176,0.0259304935,0.02204798
2005m3,-0.00251033,0.01283155,-0.01490372,0.0038825176,-0.0087613933,-0.01264391
2005m4,-0.03291819,-0.01820207,0.00133771,0.0038323245,-0.0225420446,-0.02637437
2005m5,-0.01094369,0.01056728,0.01738748,0.0037988641,0.0390428991,0.03524404
